seed,variant,n,success_count,success_rate,num_leaf_calls,num_retries,premature_stop_count
1,H3,180,140,0.7777777777777778,267,87,37
1,H4,180,158,0.8777777777777778,241,27,21
1,generic-retry,180,137,0.7611111111111111,273,93,35
1,natural-retry,180,134,0.7444444444444445,268,88,37
1,retain+generic,180,140,0.7777777777777778,260,25,31
1,targeted+untyped,180,156,0.8666666666666667,215,35,24
1,typed+no-retain,180,160,0.8888888888888888,210,30,20
2,H3,180,143,0.7944444444444444,258,78,33
2,H4,180,161,0.8944444444444445,239,26,19
2,generic-retry,180,131,0.7277777777777777,261,81,41
2,natural-retry,180,136,0.7555555555555555,257,77,38
2,retain+generic,180,135,0.75,269,27,33
2,targeted+untyped,180,162,0.9,211,31,17
2,typed+no-retain,180,163,0.9055555555555556,212,32,17
3,H3,180,140,0.7777777777777778,257,77,35
3,H4,180,157,0.8722222222222222,235,23,22
3,generic-retry,180,137,0.7611111111111111,260,80,35
3,natural-retry,180,137,0.7611111111111111,263,83,33
3,retain+generic,180,137,0.7611111111111111,263,27,36
3,targeted+untyped,180,158,0.8777777777777778,211,31,21
3,typed+no-retain,180,156,0.8666666666666667,208,28,24
