section,name,metric,value
variant,H3,leaf_count,782
variant,H3,retry_leaf_count,242
variant,H3,avg_prompt_tokens,392.7736572890026
variant,H3,avg_retry_prompt_tokens,316.08677685950414
variant,H3,total_prompt_tokens,307149
variant,H4,leaf_count,715
variant,H4,retry_leaf_count,78
variant,H4,avg_prompt_tokens,432.5272727272727
variant,H4,avg_retry_prompt_tokens,604.6538461538462
variant,H4,total_prompt_tokens,309257
variant,generic-retry,leaf_count,794
variant,generic-retry,retry_leaf_count,254
variant,generic-retry,avg_prompt_tokens,434.8299748110831
variant,generic-retry,avg_retry_prompt_tokens,451.1771653543307
variant,generic-retry,total_prompt_tokens,345255
variant,natural-retry,leaf_count,788
variant,natural-retry,retry_leaf_count,248
variant,natural-retry,avg_prompt_tokens,442.6535532994924
variant,natural-retry,avg_retry_prompt_tokens,476.43145161290323
variant,natural-retry,total_prompt_tokens,348811
variant,retain+generic,leaf_count,792
variant,retain+generic,retry_leaf_count,153
variant,retain+generic,avg_prompt_tokens,418.52272727272725
variant,retain+generic,avg_retry_prompt_tokens,446.1045751633987
variant,retain+generic,total_prompt_tokens,331470
variant,targeted+untyped,leaf_count,637
variant,targeted+untyped,retry_leaf_count,97
variant,targeted+untyped,avg_prompt_tokens,434.8744113029827
variant,targeted+untyped,avg_retry_prompt_tokens,477.92783505154637
variant,targeted+untyped,total_prompt_tokens,277015
variant,typed+no-retain,leaf_count,630
variant,typed+no-retain,retry_leaf_count,90
variant,typed+no-retain,avg_prompt_tokens,450.1460317460317
variant,typed+no-retain,avg_retry_prompt_tokens,588.1777777777778
variant,typed+no-retain,total_prompt_tokens,283592
comparison,generic-retry_vs_H3,avg_prompt_token_delta,42.05631752208052
comparison,generic-retry_vs_H3,avg_retry_prompt_token_delta,135.09038849482658
comparison,generic-retry_vs_H3,total_prompt_token_delta,38106
comparison,natural-retry_vs_generic-retry,avg_prompt_token_delta,7.823578488409282
comparison,natural-retry_vs_generic-retry,avg_retry_prompt_token_delta,25.254286258572506
comparison,natural-retry_vs_generic-retry,total_prompt_token_delta,3556
comparison,retain+generic_vs_generic-retry,avg_prompt_token_delta,-16.307247538355853
comparison,retain+generic_vs_generic-retry,avg_retry_prompt_token_delta,-5.072590190932033
comparison,retain+generic_vs_generic-retry,total_prompt_token_delta,-13785
comparison,targeted+untyped_vs_natural-retry,avg_prompt_token_delta,-7.779141996509679
comparison,targeted+untyped_vs_natural-retry,avg_retry_prompt_token_delta,1.4963834386431358
comparison,targeted+untyped_vs_natural-retry,total_prompt_token_delta,-71796
comparison,typed+no-retain_vs_targeted+untyped,avg_prompt_token_delta,15.271620443049017
comparison,typed+no-retain_vs_targeted+untyped,avg_retry_prompt_token_delta,110.24994272623144
comparison,typed+no-retain_vs_targeted+untyped,total_prompt_token_delta,6577
comparison,H4_vs_typed+no-retain,avg_prompt_token_delta,-17.61875901875902
comparison,H4_vs_typed+no-retain,avg_retry_prompt_token_delta,16.476068376068383
comparison,H4_vs_typed+no-retain,total_prompt_token_delta,25665
comparison,H4_vs_retain+generic,avg_prompt_token_delta,14.00454545454545
comparison,H4_vs_retain+generic,avg_retry_prompt_token_delta,158.5492709904475
comparison,H4_vs_retain+generic,total_prompt_token_delta,-22213
comparison,H4_vs_generic-retry,avg_prompt_token_delta,-2.302702083810402
comparison,H4_vs_generic-retry,avg_retry_prompt_token_delta,153.47668079951546
comparison,H4_vs_generic-retry,total_prompt_token_delta,-35998
comparison,H4_vs_H3,avg_prompt_token_delta,39.75361543827012
comparison,H4_vs_H3,avg_retry_prompt_token_delta,288.56706929434205
comparison,H4_vs_H3,total_prompt_token_delta,2108
